element_type,osmid,barrier,geometry,nodes,building,landuse,name,operator,plant:method,plant:output:electricity,plant:source,power,wikidata,boundary,name:en,short_name,short_name:en,wikipedia,source,man_made,product,cargo,industrial,ward5wknn,index,points,rank,value
way,354956528,,"POLYGON ((91.8142775 22.3087372, 91.8144651 22.3087678, 91.8145032 22.3085682, 91.8143155 22.3085376, 91.8142775 22.3087372))","[3606088657, 3606088658, 3606088654, 3606088653, 3606088657]",yes,industrial,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
way,354956530,,"POLYGON ((91.8143113 22.3084671, 91.8145501 22.3085082, 91.8146009 22.3082558, 91.8143621 22.3082147, 91.8143113 22.3084671))","[3606088649, 3606088652, 3606088645, 3606088644, 3606088649]",yes,industrial,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
way,356796541,,"POLYGON ((91.8125958 22.307727, 91.8126951 22.3077298, 91.8126951 22.3077125, 91.8125947 22.3077091, 91.8126111 22.3075993, 91.8125418 22.3075909, 91.8125618 22.3075048, 91.8125162 22.3074997, 91.812518 22.3074355, 91.8124907 22.3074322, 91.8125107 22.3073038, 91.8126057 22.3073072, 91.8125984 22.3074372, 91.8126257 22.3075014, 91.812613 22.3075689, 91.8126458 22.3075909, 91.8127553 22.3075926, 91.8127389 22.3076888, 91.8127375 22.307731, 91.8127684 22.3077319, 91.8127396 22.3080434, 91.8126288 22.3079665, 91.8125175 22.3083601, 91.812484 22.3083464, 91.8125447 22.3081223, 91.812599 22.3079448, 91.8125788 22.307933, 91.8125958 22.307727))","[3622031240, 3622031241, 3622031239, 3622031238, 3622031234, 3622031231, 3622031223, 3622031220, 3622031210, 3622031208, 3622031193, 3622031194, 3622031211, 3622031221, 3622031229, 3622031232, 3622031233, 3622031236, 3622031242, 3622031243, 3622031249, 3622031248, 3622031252, 3622031251, 3622031250, 3622031247, 3622031246, 3622031240]",yes,industrial,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
way,361199961,wall,"POLYGON ((91.8029943 22.2969449, 91.8030828 22.2979245, 91.8031003 22.2979996, 91.8060439 22.2976568, 91.8071043 22.2975313, 91.8080717 22.2973903, 91.8080583 22.2972142, 91.8095309 22.2970752, 91.8099573 22.2969561, 91.8095952 22.2965367, 91.8092385 22.2961917, 91.8068138 22.2960081, 91.8067762 22.2962587, 91.8061835 22.2962438, 91.8052179 22.296291, 91.805191 22.29609, 91.8031418 22.2963406, 91.803174 22.2967501, 91.8032102 22.2968766, 91.803166 22.2969126, 91.8029943 22.2969449))","[3657079729, 9877537157, 3657079739, 3657079732, 9591245871, 3657079733, 3657079730, 9591245877, 9591245878, 9591245879, 9591245883, 3657078723, 3657078724, 3657079727, 3657079725, 3657079728, 9591245882, 9591245881, 3657079726, 9591245880, 3657079729]",,industrial,Acorn Jhulda power plant,Acorn,combustion,300 MW,oil,plant,Q111265836,,,,,,,,,,,2,5,north,5,3.12
way,469334808,,"POLYGON ((91.8286801 22.3265714, 91.8285961 22.325651, 91.8299327 22.3255457, 91.8299567 22.326527, 91.8290157 22.3265714, 91.8286801 22.3265714))","[4636803827, 4636803828, 4636803829, 4636803830, 4636803831, 4636803827]",,commercial,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
way,757725744,,"POLYGON ((91.7883226 22.2694665, 91.7916231 22.2699939, 91.7916767 22.2696613, 91.7927402 22.2698388, 91.7930192 22.2699282, 91.7930165 22.2699728, 91.7935449 22.2702955, 91.7931989 22.2724574, 91.7955025 22.2745508, 91.7972141 22.2761061, 91.7949825 22.2780222, 91.7938775 22.2802287, 91.793848 22.2802783, 91.786893 22.278809, 91.7871129 22.2779626, 91.7871022 22.277501, 91.7874026 22.2763344, 91.7884219 22.2724723, 91.7875153 22.2722638, 91.7880598 22.2708416, 91.7881831 22.2701143, 91.7883226 22.2694665))","[7076417570, 7076417569, 7076417568, 7076417567, 7076417566, 7076417565, 7076417564, 7076417563, 9796336787, 7076417562, 7076417561, 7076417560, 7076417559, 7076417558, 7076417557, 7076417556, 7076417555, 7076417554, 7076417553, 7076417552, 7076417551, 7076417570]",,industrial,কর্ণফুলী রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,,,,,Q6372827,special_economic_zone,Karnaphuli Export Processing Zone,কর্ণফুলী ইপিজেড,Karnaphuli EPZ,bn:কর্ণফুলী রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,,,,,2,5,north,5,3.12
way,1042087037,,"POLYGON ((91.7731574 22.2782927, 91.7773926 22.278732, 91.7771539 22.2820008, 91.7773363 22.2821149, 91.7770332 22.2838721, 91.7768428 22.2840359, 91.7767811 22.2855871, 91.7812255 22.2860661, 91.7801821 22.2884164, 91.7799193 22.2891088, 91.7797852 22.2897442, 91.7794418 22.293164, 91.7789885 22.2973358, 91.7788035 22.2986709, 91.7786801 22.2986585, 91.7786184 22.2990208, 91.7786533 22.2991399, 91.7780498 22.3010383, 91.7769501 22.3008497, 91.7765585 22.3007678, 91.7763975 22.3012766, 91.7722044 22.3013525, 91.7714649 22.3013659, 91.7719853 22.2998422, 91.7723259 22.2990034, 91.7724386 22.2985418, 91.7726853 22.2963059, 91.771819 22.2935884, 91.771709 22.2930995, 91.7716366 22.2926007, 91.7715803 22.287317, 91.7723206 22.2806878, 91.7731574 22.2782927))","[9593199756, 9593199755, 9593199754, 9593199753, 9593199752, 9593199751, 9593199750, 9593199749, 9593199748, 9593199747, 9593199746, 9593199745, 9593199744, 9593199743, 9593199742, 9593199741, 9593199740, 9593199739, 9593199738, 9593199737, 9593199736, 1211474036, 9593199735, 9593199734, 9593199733, 9593199732, 9593199731, 9593199730, 9593199729, 9593199728, 9593199727, 9593199726, 9593199756]",,industrial,চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,BEPZA,,,,,Q5102389,,Chattogram Export Processing Zone,চট্টগ্রাম ইপিজেড,Chattogram EPZ,bn:চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,,,,,2,5,north,5,3.12
way,1077129835,,"POLYGON ((91.8091178 22.3064406, 91.8092152 22.3060287, 91.8094359 22.3056505, 91.809696 22.3054151, 91.8100855 22.3051251, 91.8101555 22.3050408, 91.8103255 22.3054444, 91.810461 22.3056156, 91.8106138 22.3056853, 91.8109311 22.3057968, 91.8112979 22.305942, 91.8117713 22.3061331, 91.8121564 22.3062068, 91.8124813 22.3062135, 91.8124434 22.3069021, 91.812441 22.3069444, 91.8124142 22.3078427, 91.8122632 22.3081249, 91.8119092 22.307903, 91.8117723 22.3077763, 91.811461 22.3078233, 91.8110865 22.3076243, 91.8091178 22.3064406))","[1222776211, 3606027039, 9876535434, 3606027029, 3606027028, 3606027027, 3606027030, 3606027033, 3606027035, 9876535433, 3606027038, 3606027043, 3606027044, 9876535432, 9876535428, 9876535431, 9876535430, 9876535429, 9877525069, 9877525070, 9877525071, 1222776067, 1222776211]",,industrial,,,,,,,,,,,,,Esri World Imagery,,,,,2,5,north,5,3.12
way,1077260563,,"POLYGON ((91.8139294 22.3092525, 91.814155 22.3088104, 91.8144044 22.3072025, 91.8145831 22.3072292, 91.814754 22.3072067, 91.8150458 22.3071771, 91.8154448 22.3074814, 91.8157118 22.3074829, 91.815822 22.3073748, 91.8161125 22.3073717, 91.816054 22.3080883, 91.8160023 22.3086088, 91.8159122 22.3092944, 91.8155165 22.3093562, 91.8151677 22.3093948, 91.814898 22.3099115, 91.8148048 22.3098434, 91.8139294 22.3092525))","[9877517105, 9877525060, 9877525063, 9877525083, 9877525082, 9877525081, 9877525080, 9877525079, 9877525078, 9877525077, 9877525076, 9877525075, 9877525074, 9877525073, 9877525072, 9876535426, 1222776062, 9877517105]",,industrial,National Cement Mills Ltd.,,,,,,,,,,,,Esri World Imagery,works,cement,,,2,5,north,5,3.12
way,1077260564,,"POLYGON ((91.8137773 22.3091531, 91.8137633 22.3091445, 91.8136883 22.3090848, 91.8136371 22.3090501, 91.8132619 22.3088313, 91.8132399 22.3088162, 91.8130255 22.3086677, 91.8129888 22.3086439, 91.8125101 22.3083864, 91.8124773 22.3083687, 91.8124714 22.308259, 91.8122632 22.3081249, 91.8124142 22.3078427, 91.812441 22.3069444, 91.8124434 22.3069021, 91.8124813 22.3062135, 91.8127352 22.3062187, 91.8129367 22.3062335, 91.8133974 22.3062751, 91.8135858 22.3063083, 91.8136436 22.3063079, 91.8137997 22.3063069, 91.8138873 22.3065563, 91.8141026 22.3067493, 91.814325 22.3071032, 91.8144044 22.3072025, 91.814155 22.3088104, 91.8139294 22.3092525, 91.8137773 22.3091531))","[3625681619, 3625681618, 3625681615, 3625681612, 3625681602, 3625681601, 3625681596, 3625681594, 8428642507, 8428642508, 1222776029, 9876535429, 9876535430, 9876535431, 9876535428, 9876535432, 3606027045, 3606088604, 3606088608, 3606088611, 9877525087, 3606088610, 9877525086, 9877525085, 9877525084, 9877525063, 9877525060, 9877517105, 3625681619]",,industrial,Diamanond Cement Industries Ltd,,,,,,,,,,,,Esri World Imagery,works,cement,,,2,5,north,5,3.12
way,1077266571,,"POLYGON ((91.8140369 22.3181598, 91.813876 22.3182297, 91.8135917 22.3185523, 91.8136226 22.3186304, 91.8137097 22.3187346, 91.813522 22.318958, 91.8133034 22.3190001, 91.8131357 22.3189567, 91.8127455 22.319417, 91.8124773 22.3194046, 91.8123874 22.3193928, 91.812266 22.3193115, 91.8120146 22.319118, 91.811908 22.3190361, 91.8118355 22.3190101, 91.8116793 22.3189052, 91.8113273 22.3186565, 91.8109658 22.3183953, 91.8107204 22.3182216, 91.810652 22.318159, 91.8105655 22.3180436, 91.8104395 22.3178352, 91.810241 22.3174983, 91.8101203 22.3173445, 91.8100512 22.3172632, 91.8099318 22.3171522, 91.8095355 22.3168476, 91.8092928 22.316615, 91.808806 22.3163445, 91.8085559 22.3162118, 91.8083433 22.3161008, 91.8082011 22.3160114, 91.8077834 22.315741, 91.8073723 22.3154711, 91.8069077 22.3151547, 91.8063276 22.3147757, 91.80604 22.3146182, 91.8059923 22.3146064, 91.8060024 22.3145828, 91.8057865 22.3145102, 91.8055518 22.314419, 91.8053211 22.3143384, 91.8050998 22.3142335, 91.8045889 22.3140152, 91.8036474 22.3136182, 91.80306 22.3133762, 91.802246 22.3130425, 91.8018691 22.3128551, 91.8017149 22.312746, 91.8015392 22.3125785, 91.8013997 22.3124197, 91.8013099 22.3123142, 91.8012301 22.3121963, 91.8011295 22.3120444, 91.8010443 22.3118955, 91.8010048 22.3118316, 91.8007111 22.3113068, 91.8005528 22.3110568, 91.8004248 22.3108576, 91.8001686 22.3110822, 91.7998575 22.3113713, 91.7997649 22.3113899, 91.7996817 22.311504, 91.7994873 22.3116802, 91.79926 22.3116591, 91.7990857 22.3115853, 91.7988624 22.3113378, 91.7988349 22.3112863, 91.7984714 22.3108111, 91.7979062 22.3101386, 91.7976037 22.3097875, 91.7975333 22.3098418, 91.7973904 22.3096914, 91.7972386 22.3095427, 91.7973114 22.3094792, 91.7969305 22.3091045, 91.7968417 22.3091817, 91.7966036 22.3089523, 91.7967059 22.3088626, 91.7962303 22.3084005, 91.7958905 22.3080703, 91.7948853 22.3070709, 91.7945024 22.3065883, 91.793911 22.3058345, 91.7940351 22.3053959, 91.7939056 22.3051199, 91.7942502 22.3049091, 91.7940574 22.3046212, 91.7933437 22.304979, 91.7930554 22.3044132, 91.7936857 22.3040571, 91.7945782 22.3036142, 91.7954526 22.3031322, 91.7955089 22.3030769, 91.7957617 22.3029218, 91.7958249 22.3029434, 91.7965818 22.3025056, 91.796726 22.3024417, 91.7967866 22.3024292, 91.7970713 22.3029989, 91.7970846 22.3030254, 91.7972229 22.3033022, 91.7972839 22.3034529, 91.7975052 22.3033152, 91.7978318 22.3038481, 91.7986043 22.3048606, 91.7995269 22.3060914, 91.8009646 22.3075406, 91.8015869 22.3082354, 91.8028367 22.3091784, 91.8051703 22.310836, 91.8077901 22.3127063, 91.8083654 22.3130847, 91.8089032 22.3134854, 91.8093331 22.3137938, 91.8098286 22.3141206, 91.8101853 22.3143663, 91.8104884 22.3145772, 91.8108934 22.3148551, 91.8114473 22.3152856, 91.8123874 22.3159221, 91.8129944 22.3163943, 91.8129346 22.3164419, 91.8128622 22.3165276, 91.8129078 22.3165785, 91.8129603 22.3166372, 91.8133154 22.3170337, 91.8134334 22.3172732, 91.8135099 22.3174444, 91.8136676 22.3176548, 91.8138272 22.3179227, 91.8140369 22.3181598))","[3648496500, 9877579278, 9877579277, 9877579276, 9877579275, 9877579274, 9877579273, 9877579272, 9877579271, 9877579270, 9876682814, 9876682813, 9876682812, 9876682811, 9876682810, 9876682809, 9876682808, 9876682807, 9876682806, 9876682805, 9876682804, 9876682803, 9876682802, 9876682801, 9876682800, 9876682799, 9876682798, 9876682797, 9876682796, 9876682795, 9876682794, 9876682793, 9876682792, 9876682791, 9876682790, 9876682789, 9876682788, 9876682787, 9876682786, 9876682785, 9876682784, 9876707063, 9877579269, 9877579268, 9877579267, 9877579266, 9877579265, 9877579264, 9877579263, 9877579262, 9877579261, 9877579260, 9876707055, 9876707054, 9876707053, 9876707052, 9876707051, 9876707050, 9877579259, 9877579258, 9877579257, 9877579256, 9877579255, 9876518582, 9876518583, 9876518584, 9876518585, 9876518586, 9876518587, 9876518588, 9876518589, 9877579254, 9877579253, 9877579252, 9876518594, 9876518595, 9877579251, 9877579250, 9876518598, 9877579249, 9876518599, 9876518600, 9876518601, 9876518602, 9876518603, 9876518604, 9877579248, 9877579247, 9877579246, 9877579245, 9877579244, 9876518611, 9876518612, 9876518615, 9877579243, 9877579242, 9876707169, 9877579241, 9877579240, 9877579239, 9877579238, 1222776032, 9859226310, 9859228057, 1222776040, 1222776055, 1222776079, 1222776179, 1222776186, 1222776150, 1222776098, 5038468900, 5038468901, 5038468902, 1222776091, 5038468903, 5038459854, 5038459855, 5038459856, 1222776058, 5038459859, 1222776140, 1222776139, 1222776130, 9877579237, 9877579236, 1222776115, 1222776064, 9859229428, 1222776080, 1222776076, 3648496500]",,industrial,চট্টগ্রাম বন্দর,,,,,,Q3348944,,Chittagong port,,,bn:চট্টগ্রাম বন্দর,Esri World Imagery,,,container;bulk;general,port,2,5,north,5,3.12
